film_id,decade,file_path,start,end,text_clean,text_raw
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:01:48,666","00:01:51,135",How many stars spa_le in the sky?,"How many stars
spa_le in the sky?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:01:51,532","00:01:53,967",Ever tried countinQ them?,Ever tried countinQ them?
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:01:54,432","00:02:01,906","lt would take 6,OOO years to count those in our Qalaxy alone","lt would take 6,OOO years to
count those in our Qalaxy alone"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:02:02,399","00:02:04,534",How many such galaxies exist?,How many such galaxies exist?
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:02:04,933","00:02:08,569",Scientists reckon mo billion more,"Scientists reckon
mo billion more"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:02:09,065","00:02:14,303",lsn't it possible that amongst these billions oF celestial bodies,"lsn't it possible that amongst
these billions oF celestial bodies"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:02:14,566","00:02:18,069",a planet with people like us exists?,"a planet with people
like us exists?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:02:18,399","00:02:22,169","As we explore space IookinQ For them,","As we explore space
IookinQ For them,"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:02:22,432","00:02:26,869","couldn't they be cominQ here, IookinQ For us?","couldn't they be cominQ here,
IookinQ For us?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:04:27,232","00:04:57,829",Hindi pop sonQ,Hindi pop sonQ
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:06:16,132","00:06:20,669",What the thief stole was the gadget to r_all his spaceship,"What the thief stole was the
gadget to r_all his spaceship"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:06:20,833","00:06:24,336",Without this remote he could not return home,"Without this remote
he could not return home"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:06:24,766","00:06:29,103","He neither knew our language, nor had a friend here","He neither knew our language,
nor had a friend here"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:06:29,332","00:06:33,302","Alone, anguished, his only thought was...","Alone, anguished,
his only thought was..."
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:06:33,766","00:06:35,667",.. how will l return home?,.. how will l return home?
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:06:58,332","00:07:03,537",On the pathway of Time LiFe is but a brieF name,"On the pathway of Time
LiFe is but a brieF name"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:04,532","00:07:09,603","In its Iuminous mist We wish, we dream, we exist","In its Iuminous mist
We wish, we dream, we exist"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:10,065","00:07:12,834",But on a beautiFul bend,But on a beautiFul bend
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:13,132","00:07:15,868",A stranger may we rmet,A stranger may we rmet
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:16,065","00:07:19,101",LiFe aner liFe,LiFe aner liFe
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:19,265","00:07:22,534",Whose memoy may persist,Whose memoy may persist
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:41,532","00:07:43,267",Extra ticket. Anyone extra ticket?,"Extra ticket.
Anyone extra ticket?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:43,532","00:07:45,734",- Yes sir... - l'll take it!,"- Yes sir...
- l'll take it!"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:46,532","00:07:48,200","Sory, l raised my hand first","Sory, l raised my hand first"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:48,265","00:07:51,034",But l called out first,But l called out first
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:51,165","00:07:54,134","l'm a big fan of Mr Bachchan, the poet","l'm a big fan of
Mr Bachchan, the poet"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:54,199","00:07:56,968","l'm a bigger fan of his son, the actor","l'm a bigger fan of his son,
the actor"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:07:57,232","00:08:00,034","From age ten, l know all his poems. Fully memorized","From age ten, l know all his poems.
Fully memorized"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:00,466","00:08:03,468","From age five, l know his son's dialogues - without memorizing","From age five, l know his son's
dialogues - without memorizing"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:03,499","00:08:05,200","Hello, who wants it?","Hello, who wants it?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:05,599","00:08:07,934",Give me. Poety's not his cup of tea,"Give me.
Poety's not his cup of tea"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:08,199","00:08:09,500",EUR10O,EUR10O
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:09,933","00:08:13,469",EUR100 for a EUR40 ticket? Black market of poety!,"EUR100 for a EUR40 ticket?
Black market of poety!"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:13,599","00:08:15,667",Queued up six long hours for this,"Queued up
six long hours for this"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:15,899","00:08:17,133",Time is money,Time is money
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:24,099","00:08:28,937",- Go for the dialogues. - All yours. Ladies first,"- Go for the dialogues.
- All yours. Ladies first"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:30,000","00:08:32,736",Just a sec! Why not split the ticket?,"Just a sec!
Why not split the ticket?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:33,000","00:08:39,773",1st half you enjoy the poety. 2nd half l'll savor the acting,"1st half you enjoy the poety.
2nd half l'll savor the acting"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:41,065","00:08:43,467",That's a damn good idea!,That's a damn good idea!
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:45,733","00:08:47,534","10, 20, 30, 4O","10, 20, 30, 4O"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:47,599","00:08:48,199",50 more,50 more
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:49,132","00:08:50,166",- 96 - 96,"- 96
- 96"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:51,966","00:08:55,502",EUR96. How about a discount? We're from the same county,"EUR96. How about a discount?
We're from the same county"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:55,632","00:08:57,767","Hail India, bro!","Hail India, bro!"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:08:57,833","00:09:00,902",Long live motherland! EUR1 OO,"Long live motherland!
EUR1 OO"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:02,899","00:09:05,101",Extra ticket. Anyone extra ticket?,"Extra ticket.
Anyone extra ticket?"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:06,532","00:09:07,499",Sir!,Sir!
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:07,966","00:09:10,401",Can l borrow EUR4? Please!,"Can l borrow EUR4?
Please!"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:10,599","00:09:13,134",Keep my watch till l repay,Keep my watch till l repay
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:13,399","00:09:15,467","Please, Sir, it's the last ticket","Please, Sir,
it's the last ticket"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:15,632","00:09:18,868","Show is sold out, child. No tickets left","Show is sold out, child.
No tickets left"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:19,399","00:09:22,935",There is one left with that black marketer,"There is one left
with that black marketer"
pk-2015-hindi-1-2-gb-720p-dvdrip-5,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/PK (2015) Hindi 1.2 GB 720p DVDRip 5.srt,"00:09:23,532","00:09:27,535",Scoundrel! Giving India a bad name,"Scoundrel!
Giving India a bad name"
