film_id,decade,file_path,start,end,text_clean,text_raw
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:00:37,166","00:00:38,415",My beloved..,My beloved..
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:00:39,000","00:00:42,707",I'm far away from you but you're right in front of me.,"I'm far away from you
but you're right in front of me."
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:00:43,833","00:00:46,082",I feel as if I'm watching you-,I feel as if I'm watching you-
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:00:47,291","00:00:49,749",You must be reading this letter lying down in solitude.,"You must be reading this letter
lying down in solitude."
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:00:50,750","00:00:55,124",Everything around you must've blended with you-,"Everything around you
must've blended with you-"
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:00:56,750","00:01:00,415",The clouds must've spread all over just like the kohl in your eyes.,"The clouds must've spread all over
just like the kohl in your eyes."
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:01:01,625","00:01:03,082",You must be gazing all around you-,You must be gazing all around you-
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:01:03,166","00:01:04,999",-having shifted your eyes from the letter.,"-having shifted your
eyes from the letter."
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:01:06,541","00:01:08,999",The entire earth must be resembling your face.,"The entire earth must
be resembling your face."
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:02:04,583","00:02:05,957",Who is it?,Who is it?
darr-1993-hindi-720p-brrip-charmeleon-silverrg-eng-1,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Darr 1993 Hindi 720p BRRip CharmeLeon SilverRG-eng(1).srt,"00:02:14,000","00:02:16,499",Sunil was supposed to have come to pick you up.,"Sunil was supposed to
have come to pick you up."
