film_id,decade,file_path,start,end,text_clean,text_raw
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:30,897","00:00:36,199",My story travels far and wide across these beautiful valleys of Ooty,"My story travels far and wide across
these beautiful valleys of Ooty"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:36,770","00:00:38,761","Like roses, and thorns","Like roses, and thorns"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:40,440","00:00:45,707",Here it was that I became someone's wife... and a woman,"Here it was that I became
someone's wife... and a woman"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:46,713","00:00:51,377","Love, devotion, faith and sacrifice...","Love, devotion, faith
and sacrifice..."
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:52,719","00:00:55,051",it was here that I got to know what they really meant,"it was here that I got to know
what they really meant"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:55,455","00:00:58,822",Here it was that I practically touched my life,"Here it was that I practically
touched my life"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:00:59,926","00:01:05,796","At this place, I felt the cold feeling of death, touch my body","At this place, I felt the cold
feeling of death, touch my body"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:01:06,733","00:01:11,432","There was a group of college students on a picnic, that particular night","There was a group of college students
on a picnic, that particular night"
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:01:12,739","00:01:17,335",Little did I know that what was happening then...,"Little did I know that
what was happening then..."
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:01:17,744","00:01:21,737",would also affect my life,would also affect my life
raaz-2002-dvdrip-xvid,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Raaz.2002.DVDRiP.XViD.srt,"00:01:27,954","00:01:31,219",You must do it. The bottle stopped on you,"You must do it.
The bottle stopped on you"
