film_id,decade,file_path,start,end,text_clean,text_raw
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:10,471","00:03:12,975",Turn the cannon towards the statue.,Turn the cannon towards the statue.
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:13,503","00:03:15,742","Done, sir.","Done, sir."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:16,850","00:03:17,767",3...,3...
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:18,559","00:03:19,475",2...,2...
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:20,475","00:03:21,434",1...,1...
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:21,975","00:03:22,934",Fire!,Fire!
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:43,475","00:03:46,684","Six years ago in Bamyan, Afhanistan","Six years ago
in Bamyan, Afhanistan"
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:46,767","00:03:51,475",Taliban committed a major crime against humanity.,"Taliban committed a major
crime against humanity."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:52,059","00:03:57,142",The massive Lord Buddha statues were bombed and blown to pieces,"The massive Lord Buddha statues
were bombed and blown to pieces"
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:03:57,225","00:04:00,850",destroying an integral part of our cultural inheritance.,"destroying an integral
part of our cultural inheritance."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:01,184","00:04:03,770","Under the supervision of UNESCO,","Under the supervision of UNESCO,"
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:03,850","00:04:06,687",an international team of archaeologists,an international team of archaeologists
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:06,767","00:04:10,225",will arrive and restore what's left of the heritage structure.,"will arrive and restore what's
left of the heritage structure."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:11,809","00:04:14,934",They will excavate the scattered remnants of the idols,"They will excavate the
scattered remnants of the idols"
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:15,017","00:04:17,892",to build the Lord Buddha statue once again.,"to build the Lord
Buddha statue once again."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:18,517","00:04:19,434",On this mission,On this mission
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:19,517","00:04:24,559","we have archaeologists from Pakistan, Afghanistan, Japan and India.","we have archaeologists from Pakistan,
Afghanistan, Japan and India."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:47,847","00:04:49,392",Welcome to Bamyan.,Welcome to Bamyan.
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:52,767","00:04:55,267",I don't see our Indian guest Mr. Aryan...,"I don't see our Indian guest
Mr. Aryan..."
ram-setu-2022-true-web-dl-1080p-avc-dd-5-1-192kbps-tam-tel-hin-3gb-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/Ram Setu (2022) TRUE WEB-DL - 1080p - AVC - (DD+5.1 - 192Kbps) [Tam + Tel + Hin] - 3GB - ESub.srt,"00:04:55,725","00:04:59,059","don't tell me you abandoned him at the LOC, Mr. Bilawal?","don't tell me you abandoned
him at the LOC, Mr. Bilawal?"
