film_id,decade,file_path,start,end,text_clean,text_raw
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:00:20,179","00:05:00,986",Team xRG @ desidhamal.com,Team xRG @ desidhamal.com
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:05:31,192","00:05:36,900",Let's Shikdum,Let's Shikdum
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:05:51,525","00:05:56,400",When no one's around but you and me...,When no one's around but you and me...
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:05:56,775","00:05:58,983","is a moment l cherish, so you see...","is a moment l cherish, so you see..."
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:05:59,192","00:06:01,817","let's get naughty the rest, we'll see","let's get naughty the rest, we'll see"
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:07,192","00:06:12,025","No one's around but you and me,","No one's around but you and me,"
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:12,400","00:06:14,608","magic moments l cherish, so you see...","magic moments l cherish, so you see..."
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:14,817","00:06:17,400","let's get naughty the rest, we'll see","let's get naughty the rest, we'll see"
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:17,775","00:06:19,900",Come on darling,Come on darling
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:20,400","00:06:22,692",no more teasing,no more teasing
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:22,983","00:06:24,858",go easy,go easy
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:25,067","00:06:27,400",don't be crazy,don't be crazy
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:06:27,858","00:06:38,192",Sweetheart shikdum-shikdum,Sweetheart shikdum-shikdum
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:22,942","00:07:27,317",Windows wish curtains... would hide us...,"Windows wish curtains...
would hide us..."
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:28,150","00:07:32,817",l wish you... wouldn't punish us,"l wish you...
wouldn't punish us"
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:33,400","00:07:37,858",Leave me alone,Leave me alone
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:38,608","00:07:43,233",Please don't push me,Please don't push me
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:43,983","00:07:46,275",What's your crib?,What's your crib?
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:46,775","00:07:48,983",Why are you evasive?,Why are you evasive?
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:49,192","00:07:51,233",Crazy you,Crazy you
dhoom-720p-brrip-xrg,2000s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2000s/Dhoom 720P BRRip xRG.srt,"00:07:51,442","00:07:53,692",l know you,l know you
