film_id,decade,file_path,start,end,text_clean,text_raw
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:02:33,348","00:02:33,973",Who was he?,Who was he?
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:02:34,182","00:02:34,477",The same,The same
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:02:35,016","00:02:35,983",Follow him,Follow him
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:02:36,184","00:02:38,982","Daddy I'll be with his girl friend, Ican get to know a lot about him","Daddy I'll be with his girl friend,
Ican get to know a lot about him"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:02:39,187","00:02:40,814","Alright, take care of yourself, go","Alright, take care of yourself, go"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:23,732","00:03:24,858",Hallo who is it?,Hallo who is it?
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:28,570","00:03:30,538",Early morning somebody is in a mood jokes-,"Early morning somebody is in a
mood jokes-"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:30,739","00:03:32,206",He says himself to be Amar,"He says himself
to be Amar"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:33,241","00:03:34,037","Look, look, look.","Look, look, look."
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:34,409","00:03:37,037",He is one scowndrel who is following me,"He is one scowndrel who is
following me"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:37,746","00:03:38,713",Ask him where is he speaking from?,Ask him where is he speaking from?
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:40,081","00:03:41,207",Talk a little sweet,Talk a little sweet
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:41,917","00:03:46,377","Hallo, who, Amar darling, where are you speaking from?","Hallo, who, Amar darling, where
are you speaking from?"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:46,922","00:03:48,048",All this I'll tell later-,"All this I'll
tell later-"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:48,256","00:03:50,383","First tell me, that last night who was in your room?","First tell me, that last
night who was in your room?"
jewel-thief-2,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Jewel Thief 2.srt,"00:03:52,093","00:03:54,220","In my room, no one","In my room, no one"
