film_id,decade,file_path,start,end,text_clean,text_raw
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:00:03,400","00:00:06,034","After all, Dharamdas has proved his innocence.","After all, Dharamdas has proved
his innocence."
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:00:17,268","00:00:19,669",Looks like a strong pair of hands choked him to death.,"Looks like a strong pair of
hands choked him to death."
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:00:20,469","00:00:22,869",The murderer is one of us.,The murderer is one of us.
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:00:23,136","00:00:26,036",But who is he and what is his motive?,"But who is he and what
is his motive?"
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:00:26,403","00:00:27,636",And why isn't he facing us?,And why isn't he facing us?
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:01:57,012","00:01:59,179",You look upset. - Not really.,"You look upset.
- Not really."
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:01:59,679","00:02:01,579",So what are you thinking about? - Nothing.,"So what are you thinking about?
- Nothing."
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:04,479","00:02:06,079",Who could be singing that song?,"Who could be
singing that song?"
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:08,013","00:02:11,980",Who knows? - Is it a stranger?,"Who knows?
- Is it a stranger?"
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:13,280","00:02:16,447",Do you believe in spirits?,Do you believe in spirits?
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:18,080","00:02:19,981",What do you do in Bombay? - Nothing.,"What do you do in Bombay?
- Nothing."
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:30,082","00:02:31,982",What is your opinion about the murderer?,"What is your opinion
about the murderer?"
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:34,082","00:02:36,482",What do you do in Bombay? - You've evaded my question.,"What do you do in Bombay?
- You've evaded my question."
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:36,749","00:02:38,849",You haven't answered me either.,You haven't answered me either.
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:42,883","00:02:46,383","Do you always smoke cigars? - Yes, why?","Do you always smoke cigars?
- Yes, why?"
gumnaam-1965-cd2-dvdrip,1960s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1960s/Gumnaam.1965.CD2.DVDRip.srt,"00:02:46,883","00:02:51,184",I found a piece of cigar near Kishan's corpse.,"I found a piece of cigar
near Kishan's corpse."
