film_id,decade,file_path,start,end,text_clean,text_raw
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:00:40,840","00:00:43,480",Don't look back. Look... over there.,"Don't look back.
Look... over there."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:00:44,600","00:00:47,440","The world prays before the rising Sun, ...","The world prays before
the rising Sun, ..."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:00:47,920","00:00:50,480",...for it's the source of light for the whole world.,"...for it's the source of light
for the whole world."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:00:51,600","00:00:55,040","But dad, the Sun gives us light only during the day.","But dad, the Sun gives us light
only during the day."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:00:56,240","00:00:58,480","But the nights are lit up in the city, isn't that so, Daddy?","But the nights are lit up in
the city, isn't that so, Daddy?"
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:00:59,159","00:01:01,880",Do people in the city pray to the lights ofthe night?,"Do people in the city pray to
the lights ofthe night?"
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:01:05,400","00:01:09,080",People in the city pray for wealth; not for the light ofthe day.,"People in the city pray for wealth;
not for the light ofthe day."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:01:09,599","00:01:12,880",And those who are enamored of wealth live a life of lies...,"And those who are enamored of
wealth live a life of lies..."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:01:13,000","00:01:14,480",... and they oRen stray towards the wrong path.,"... and they oRen stray
towards the wrong path."
agneepath-1990-dvdrip-xvid-e-sub-xrg,1990s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1990s/Agneepath 1990 DVDRip XviD E-SuB xRG.srt,"00:01:14,840","00:01:16,200","Why so, Daddy?","Why so, Daddy?"
