film_id,decade,file_path,start,end,text_clean,text_raw
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:00:39,833","00:00:41,541",It's the Roc in the building,<i>♪ It's the Roc in the building ♪</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:00:42,291","00:00:43,958",- Khaliq - 'Sup,"<i>-♪ Khaliq ♪</i>
<i>-♪ 'Sup ♪</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:00:44,041","00:00:45,500",- Ramel - 'Sup,"<i>-♪ Ramel ♪</i>
<i>-♪ 'Sup ♪</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:00:45,583","00:00:46,958",Pharell in the house…,<i>♪ Pharell in the house… ♪</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:00:49,291","00:00:50,333","-Oh, whoa! -","-Oh, whoa!
-[both laughing]"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:00:56,750","00:00:59,791",- Should I switch to tequila now? - Why not?,"-[woman] Should I switch to tequila now?
-[man] Why not?"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:05,250","00:01:07,750","- Maharaja, sing for me! Sing! -Sing! Sing!","-[woman] Maharaja, sing for me! Sing!
-Sing! Sing!"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:07,833","00:01:11,458",Why is he on this side of the road? What is happening? What?,"Why is he on this side of the road?
What is happening? What?"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:11,541","00:01:14,125","-Why is he driving like that? -Madam, should I drive now?","-Why is he driving like that?
-Madam, should I drive now?"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:14,208","00:01:16,583","- Are you worried, Maharaja? -No, no, I'm not worried.","-[woman] Are you worried, Maharaja?
-No, no, I'm not worried."
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:16,666","00:01:19,083",You're worried.,You're worried. [laughing]
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:19,166","00:01:22,083","-Madam, cow! - The cow's not gonna move.","-Madam, cow!
-[woman] The cow's not gonna move."
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:22,166","00:01:23,833","Holy cow, so jao!","Holy cow, <i>so jao!</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:27,083","00:01:30,166",This was the best birthday. I never would have made it if…,"[woman] This was the best birthday.
I never would have made it if…"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:30,250","00:01:31,791",Happy birthday to you…,<i>♪ Happy birthday to you… ♪</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:31,875","00:01:33,083","Oh, my God!","[woman] Oh, my God!"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:33,166","00:01:35,791",Happy birthday to you,[man] <i>♪ Happy birthday to you ♪</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:35,875","00:01:37,083",You're such a…,You're such a…
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:37,166","00:01:40,250","Happy birthday, dear Pinky","<i>♪ Happy birthday, dear Pinky ♪</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:40,333","00:01:42,125",- Happy birthday… -,"<i>-♪ Happy birthday… ♪</i>
-[shouting in Hindi]"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:43,708","00:01:46,250","Pardon me, this is no way to start a story.","[narrator in English] <i>Pardon me,</i>
<i>this is no way to start a story.</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:46,333","00:01:47,791","I'm Indian, after all,","<i>I'm Indian, after all,</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:47,875","00:01:50,875",and it is an ancient and venerated custom of my people,"<i>and it is an ancient</i>
<i>and venerated custom of my people</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:50,958","00:01:53,500",to start a story by praying to a higher power.,"<i>to start a story</i>
<i>by praying to a higher power.</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:01:57,375","00:02:01,291","So I, too, should start off by kissing some God's foot, but which God?","<i>So I, too, should start off</i>
<i>by kissing some God's foot, but which God?</i>"
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:02:02,416","00:02:04,000",The Muslims have one.,<i>The Muslims have one.</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:02:04,500","00:02:06,291",The Christians have three.,<i>The Christians have three.</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:02:07,541","00:02:09,833",And we Hindus have 36 million.,<i>And we Hindus have 36 million.</i>
the-white-tiger-2021-true-web-dl-esub,2020s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2020s/THE WHITE TIGER (2021) TRUE WEB-DL - ESub.srt,"00:02:09,916","00:02:12,375",Making a grand total of 36 million,<i>Making a grand total of 36 million</i>
