film_id,decade,file_path,start,end,text_clean,text_raw
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:14,768","00:00:16,818",Dear. - Yes.,"Dear.
- Yes."
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:16,908","00:00:17,861",Come here.,Come here.
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:18,743","00:00:19,847",What is this?,What is this?
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:20,210","00:00:23,689",A dress for you on this festival of Eid.,"A dress for you on
this festival of Eid."
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:26,809","00:00:28,030",Gorgeous!,Gorgeous!
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:28,779","00:00:31,639",You're looking like a newly wed.,You're looking like a newly wed.
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:31,729","00:00:34,099","Stop it! Wear it for some more time, mom.","Stop it! Wear it for some
more time, mom."
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:34,398","00:00:38,696","I couldn't see you wearing these clothes at your wedding,","I couldn't see you wearing these
clothes at your wedding,"
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:38,974","00:00:40,523",because I wasn't there.,because I wasn't there.
coolie-1983-hindi-1080p-web-dl-aac2-0-esub-telly,1980s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/1980s/Coolie.1983.Hindi.1080p.WEB-DL.AAC2.0.ESub-Telly.srt,"00:00:40,774","00:00:42,147",Let me watch you now.,Let me watch you now.
