film_id,decade,file_path,start,end,text_clean,text_raw
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:00,010","00:00:10,330",translation Islam Geez! Wei :: correct spelling :: :: Video Said WhatsApp 7 6 9 849 245 0 Taif ::,"{\ Fs50 \ fad (1000,1500) \ c & # 008008 & \ 3c & FFE87C & \ 4c & GREEN & \ fnArabic Typesetting \ fs40} translation
{\ fs50 \ fad (1000,1500) \ c & H000000 & \ 3c & H00FFFF & \ 4c & H0060ff & \ fnArabic Typesetting \ fs40} Islam Geez! Wei
<font color = ""# 60ff00"" size = 40> :: correct spelling :: </ font>
<font color = ""# 66ff00"" size = 40> :: Video Said WhatsApp 7 6 9 849 245 0 Taif :: </ font>"
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:10,330","00:00:10,920","""Advertising material""","""Advertising material"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:10,920","00:00:13,040","What happens in this city? ""Advertising material""","What happens in this city?
""Advertising material"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:13,040","00:00:13,380","""Advertising material""","""Advertising material"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:13,380","00:00:16,420","Smoking ashes of cigarettes here and there ""advertising material""","Smoking ashes of cigarettes here and there
""advertising material"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:16,420","00:00:16,970","""Advertising material""","""Advertising material"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:16,970","00:00:17,450","Why I shall silence? ""Advertising material""","Why I shall silence?
""Advertising material"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:17,450","00:00:18,970",Why I shall silence?,Why I shall silence?
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:18,970","00:00:20,640","""No Smoking""","""No Smoking"""
dangal-2016-hindi-pre-dvdrip-hevc-850mb-mkvcage,2010s,/home/pratik/projects/GenderBias_TrendAnalysis/dataset/2010s/Dangal 2016 Hindi Pre-DvDRip HEVC 850MB MkvCage.srt,"00:00:20,670","00:00:22,300",Why do you claim cigarette smoke applied on your breath?,"Why do you claim cigarette smoke
applied on your breath?"
